Text,Year,Journal Name,DOI,Label
"The increasing complexity of software and communication interfaces in Internet of Things (IoT) and cyber-physical systems (CPS) has made them more susceptible to various attacks, leading to significant privacy and security concerns. Effective cybersecurity measures are essential to mitigate these threats, as breaches can result in severe consequences. Common security risks associated with IoT and CPS include inadequate vulnerability testing, unpatched vulnerabilities, reliance on default passwords, and outdated firmware, which collectively create an expanded attack surface for malicious actors. Moreover, the interconnected nature of these systems complicates traditional security approaches, necessitating robust cybersecurity solutions that address both the digital and physical aspects of these environments. Organizations must prioritize the implementation of comprehensive security strategies to safeguard their IoT and CPS infrastructures against evolving threats.

",,,,0
"The study highlights key differences in vendor characteristics across sourcing strategies, noting that single-sourcing providers are typically larger, more established firms with greater cybersecurity resources and capabilities, enabling stronger system protection and vulnerability management [17]. In contrast, best-of-breed (BoB) vendors often consist of smaller niche players with limited resources, increasing their susceptibility to business instability and weaker cybersecurity practices due to constrained threat detection and mitigation efforts [4]. Furthermore, larger vendors exhibit heightened cybersecurity awareness and more consistent secure behaviors compared to smaller firms, reinforcing the link between vendor size, stability, and cybersecurity performance. These findings underscore the trade-offs between sourcing strategies, where vendor reliability and security posture vary significantly based on organizational scale and market positioning.

",,,,0
"The microprocessor used in this system is 8-bit PSoC 
(Programmable System on Chip) device. There are three 
reasons to use this device. Firstly, it makes the design easier 
and reduces system cost. It has configurable analog and digital 
blocks, as well as programmable interconnects logic. This 
architecture allows users to create customized peripherals such 
as filters, amplifiers, analog to digital converters, 
communication interfaces and so on. Secondly, this device has 
a sleep timer and SMP (Switch Mode Pump) circuit, which are 
useful to reduce power consumption. Thirdly, there is a special 
PSoC device which reduces the design complexity of 
capacitive sensor keyboard in the system",2007.0,A Low Cost GSM/GPRS Based Wireless Home Security System,06-Dec-07,1
"The issue of poor cybersecurity skills is worsened by the transient nature of volunteers, reducing the long-term impact of any training provided. Additionally, SEs' close involvement with disadvantaged and vulnerable individuals increases their susceptibility to social engineering attacks, which are inherently difficult to prevent. This supports RQ1 by demonstrating that owner-managers acknowledge how the unique characteristics of SEs may expose them to cyber threats, particularly those relying on social engineering tactics.
",,,,0
"In the next section, we show that our closed loop load following controller actually acts as a local supplementary control to bring back to zero the deviation in frequency due to the variation in load when there is no centralized AGC. This is true only if all the load variations in the system are supplied through bilateral contracts. Of course, it is unlikely that the power system can perform adequately without classical supplementary control. Still, even considering a scenario in which all the load variations are supplied through contracts, the system will require centralized control to address such concerns as losses, that cannot be completely included in a bilateral contract.",2001.0,Feasibility of a Bilateral Market for Load Following,04-Nov-01,1
"The Essential Cybersecurity Controls (ECC), promulgated by the National Cybersecurity Authority (NCA), constitute a meticulously structured set of guidelines intended to fortify the cybersecurity infrastructure of organizations, these controls are strategically formulated to attenuate a broad spectrum of cyber threats, thereby fostering a secure and resilient digital ecosystem, the comprehensive scope of the ECC necessitates a sophisticated comprehension and implementation strategy, positioning it as a global standard for cybersecurity best practices.
",,,,0
"Facilitating internal knowledge flows is challenging, as the cost of ambidexterity increases when firms struggle to realize the full potential of their knowledge. Managers may hesitate to share function-specific insights due to resource competition or concerns about promoting other units' ideas. Differences in thought processes and organizational culture further complicate knowledge sharing, potentially hindering collaboration and innovation within the firm.
",,,,0
"The increasing global demand for cybersecurity experts has led standard bodies and governments to continuously monitor workforce requirements and develop frameworks to address the shortage. These initiatives have resulted in work role frameworks and comprehensive reports on workforce needs, providing guidance for bridging the skills gap in the cybersecurity industry.",,,,0
"Cybersecurity concerns, including malware attacks, denial-of-service attacks, phishing, unauthorized data access, and SQL injections, pose significant threats. These issues can compromise the performance of medical care applications within the Industrial Internet of Healthcare Things (IIoHT) architecture and system, potentially leading to severe consequences for consumers and patients. These cybersecurity challenges are particularly critical and distinct from conventional issues. For example, software must be protected from malware, wireless networks from viruses, and servers from anomalous activities. While known cyberattacks on data are readily detectable within a network, undetected attacks residing at various layers of the IIoHT mechanism for medical applications can cause substantial problems [8], [9], [10], [11]. Cyber-physical system (CPS)-based computational methodologies offer automated detection of cybersecurity issues within IIoHT-based applications. These methods are designed to be autonomous, self-adaptive, and self-learning within the fog cloud environment, enabling them to accommodate dynamic environmental changes.",,,,0
"Traditionally, manufacturing plants were siloed with air-gapped security, but Digital Manufacturing (DM) relies on interconnected sensors and devices to optimize production, introducing new cybersecurity risks. DM workflows, involving design, simulation, and machine programming, heavily depend on computational resources and networks, making them vulnerable to cyber threats. Hybrid manufacturing (HM) tools serve as a key example of this interconnected system, requiring continuous connectivity across the process chain. This article examines cybersecurity risks in DM, develops an attack taxonomy, and proposes innovative security solutions to safeguard cyber-physical manufacturing systems.
",,,,0
